ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.462393561,0.462360061
16,33554432,536870912,0.398581176,0.398579255
32,16777216,536870912,0.294774402,0.294772570
64,8388608,536870912,0.320431467,0.320428625
128,4194304,536870912,0.283900301,0.283891583
256,2097152,536870912,0.345373663,0.345362345
512,1048576,536870912,0.345639836,0.345621396
1024,524288,536870912,0.342756200,0.342721392
2048,262144,536870912,0.417047134,0.416984467
4096,131072,536870912,0.413997520,0.413870852
8192,65536,536870912,0.420154861,0.419899178
16384,32768,536870912,0.417717931,0.417197063
32768,16384,536870912,0.436506374,0.435398035
65536,8192,536870912,0.438717405,0.436559358
131072,4096,536870912,0.440816189,0.436485148
262144,2048,536870912,0.452148001,0.443494295
524288,1024,536870912,0.469201050,0.452933633
1048576,512,536870912,0.862730602,0.831149832
2097152,256,536870912,0.950261854,0.887254750
4194304,128,536870912,1.011778602,0.885855282
8388608,64,536870912,1.135814159,0.885896507
16777216,32,536870912,1.383521362,0.886272810
33554432,16,536870912,1.890453412,0.891777306
67108864,8,536870912,2.906696299,0.890794658
134217728,4,536870912,4.880629972,0.885752642
268435456,2,536870912,8.810310190,0.878196142
536870912,1,536870912,16.793672528,0.884471580
