ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.277881960,0.277848987
16,33554432,536870912,0.223214717,0.223213753
32,16777216,536870912,0.189822877,0.189821831
64,8388608,536870912,0.259931292,0.259929443
128,4194304,536870912,0.209206964,0.209201457
256,2097152,536870912,0.186012856,0.186004220
512,1048576,536870912,0.186227351,0.186211536
1024,524288,536870912,0.177104644,0.177073780
2048,262144,536870912,0.179169850,0.179110917
4096,131072,536870912,0.210607182,0.210492358
8192,65536,536870912,0.210125261,0.209891767
16384,32768,536870912,0.246297797,0.245811455
32768,16384,536870912,0.311405538,0.310370154
65536,8192,536870912,0.313968794,0.311915333
131072,4096,536870912,0.315242703,0.311125116
262144,2048,536870912,0.319304689,0.311130141
524288,1024,536870912,0.325972757,0.310881421
1048576,512,536870912,0.350584463,0.320994440
2097152,256,536870912,0.677785045,0.618439700
4194304,128,536870912,0.749410409,0.631195721
8388608,64,536870912,0.870802286,0.634632425
16777216,32,536870912,1.103445522,0.631528193
33554432,16,536870912,1.562650533,0.627021071
67108864,8,536870912,2.494835688,0.624907485
134217728,4,536870912,4.366898771,0.625912620
268435456,2,536870912,8.117724755,0.628369097
536870912,1,536870912,15.666892416,0.629086860
