ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.507165626,0.507125001
16,33554432,536870912,0.370739403,0.370737741
32,16777216,536870912,0.340621717,0.340619899
64,8388608,536870912,0.374558021,0.374554826
128,4194304,536870912,0.316366518,0.316357767
256,2097152,536870912,0.295806063,0.295795486
512,1048576,536870912,0.286953381,0.286935086
1024,524288,536870912,0.283141433,0.283103292
2048,262144,536870912,0.385498143,0.385431662
4096,131072,536870912,0.379942593,0.379786471
8192,65536,536870912,0.382934475,0.382651149
16384,32768,536870912,0.442396570,0.441795729
32768,16384,536870912,0.461792463,0.460624260
65536,8192,536870912,0.475472628,0.473185748
131072,4096,536870912,0.483345841,0.478155162
262144,2048,536870912,0.500098412,0.490435440
524288,1024,536870912,0.677096884,0.658739162
1048576,512,536870912,1.134574848,1.099346423
2097152,256,536870912,1.137095592,1.067329374
4194304,128,536870912,1.404448867,1.270352550
8388608,64,536870912,1.303208599,1.035322210
16777216,32,536870912,1.560963682,1.035140126
33554432,16,536870912,2.102277681,1.074626591
67108864,8,536870912,3.313254093,1.206417633
134217728,4,536870912,5.809873355,1.340628723
268435456,2,536870912,9.502755672,1.079432660
536870912,1,536870912,20.193645055,1.511624753
