ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.577276838,0.577237272
16,33554432,536870912,0.509533691,0.509531733
32,16777216,536870912,0.424272446,0.424270471
64,8388608,536870912,0.438211953,0.438208955
128,4194304,536870912,0.401108235,0.401095268
256,2097152,536870912,0.429424037,0.429408294
512,1048576,536870912,0.541160102,0.541138572
1024,524288,536870912,0.550546152,0.550508742
2048,262144,536870912,0.612495712,0.612425344
4096,131072,536870912,0.634966652,0.634829335
8192,65536,536870912,0.619185626,0.618904856
16384,32768,536870912,0.590523670,0.589950853
32768,16384,536870912,0.594389110,0.593140980
65536,8192,536870912,0.582472192,0.580178906
131072,4096,536870912,0.587400792,0.582814634
262144,2048,536870912,0.646340573,0.636820729
524288,1024,536870912,1.157924300,1.139547358
1048576,512,536870912,1.979304303,1.941726217
2097152,256,536870912,1.392253812,1.321985672
4194304,128,536870912,1.448121311,1.313794044
8388608,64,536870912,1.539036905,1.271088468
16777216,32,536870912,1.796255609,1.256242883
33554432,16,536870912,2.387817322,1.296027425
67108864,8,536870912,3.511287698,1.351751329
134217728,4,536870912,5.760968898,1.249110004
268435456,2,536870912,10.897491678,1.515536023
536870912,1,536870912,23.091824646,1.961026419
