ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.771052016,0.771050744
16,33554432,536870912,0.755809066,0.755808007
32,16777216,536870912,0.742362624,0.742360953
64,8388608,536870912,0.727234177,0.727227664
128,4194304,536870912,0.700165950,0.700158744
256,2097152,536870912,0.487513294,0.487500231
512,1048576,536870912,0.546724458,0.546703445
1024,524288,536870912,0.475291625,0.475250893
2048,262144,536870912,0.487586680,0.487507219
4096,131072,536870912,0.498759458,0.498593095
8192,65536,536870912,0.496231914,0.495914963
16384,32768,536870912,0.494533996,0.493887227
32768,16384,536870912,0.489380433,0.488064724
65536,8192,536870912,0.511337625,0.508695833
131072,4096,536870912,0.510567704,0.505266594
262144,2048,536870912,0.522053254,0.511263209
524288,1024,536870912,0.564616164,0.542850240
1048576,512,536870912,0.637087120,0.593890853
2097152,256,536870912,0.832944699,0.746677123
4194304,128,536870912,1.012635554,0.835259124
8388608,64,536870912,1.215591711,0.864224179
16777216,32,536870912,1.586780365,0.887555969
33554432,16,536870912,2.272867893,0.874689021
67108864,8,536870912,3.653111024,0.872561389
134217728,4,536870912,6.409313213,0.862839519
268435456,2,536870912,12.029978705,0.867217124
536870912,1,536870912,47.605467445,25.075798005
