ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.659168725,0.659167471
16,33554432,536870912,0.668127245,0.668126097
32,16777216,536870912,0.715742429,0.715740898
64,8388608,536870912,0.779720535,0.779714464
128,4194304,536870912,0.759630477,0.759622864
256,2097152,536870912,0.450550875,0.450537093
512,1048576,536870912,0.460672852,0.460650579
1024,524288,536870912,0.489027557,0.488984938
2048,262144,536870912,0.481881867,0.481798738
4096,131072,536870912,0.406853982,0.406687426
8192,65536,536870912,0.420104187,0.419779302
16384,32768,536870912,0.405139490,0.404488709
32768,16384,536870912,0.398417976,0.397069359
65536,8192,536870912,0.390629611,0.387988256
131072,4096,536870912,0.393306307,0.388054442
262144,2048,536870912,0.398135228,0.387712244
524288,1024,536870912,0.424995805,0.403932667
1048576,512,536870912,0.484364792,0.440947349
2097152,256,536870912,0.600232490,0.514840757
4194304,128,536870912,0.782837476,0.612132057
8388608,64,536870912,1.015385962,0.672400064
16777216,32,536870912,1.364861797,0.682722699
33554432,16,536870912,2.065775074,0.689723699
67108864,8,536870912,3.415459969,0.686925917
134217728,4,536870912,6.132521099,0.682563929
268435456,2,536870912,11.576080442,0.688841471
536870912,1,536870912,36.703650663,14.515868230
