ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.796530430,0.796529306
16,33554432,536870912,0.792775592,0.792774414
32,16777216,536870912,0.844619451,0.844617862
64,8388608,536870912,0.602984650,0.602977789
128,4194304,536870912,0.570408105,0.570397666
256,2097152,536870912,0.519108699,0.519094031
512,1048576,536870912,0.510986247,0.510962946
1024,524288,536870912,0.494127065,0.494084740
2048,262144,536870912,0.493531431,0.493448470
4096,131072,536870912,0.496576290,0.496411277
8192,65536,536870912,0.488562422,0.488252164
16384,32768,536870912,0.489905555,0.489251429
32768,16384,536870912,0.483751883,0.482445245
65536,8192,536870912,0.503842390,0.501228705
131072,4096,536870912,0.510403005,0.505126747
262144,2048,536870912,0.524177040,0.513615150
524288,1024,536870912,0.551601259,0.530235262
1048576,512,536870912,0.672488948,0.629251769
2097152,256,536870912,0.877338228,0.790402195
4194304,128,536870912,1.049632071,0.873814070
8388608,64,536870912,1.284947526,0.937409706
16777216,32,536870912,1.616272413,0.911727656
33554432,16,536870912,2.319636928,0.919889012
67108864,8,536870912,3.705300336,0.909359617
134217728,4,536870912,6.453248700,0.889821830
268435456,2,536870912,11.949703212,0.895358504
536870912,1,536870912,55.042630605,32.240001377
