ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.977627197,0.977625887
16,33554432,536870912,0.913328235,0.913327018
32,16777216,536870912,0.935224601,0.935222782
64,8388608,536870912,0.855425759,0.855418184
128,4194304,536870912,0.778252997,0.778244781
256,2097152,536870912,0.674547796,0.674533885
512,1048576,536870912,0.650385401,0.650364216
1024,524288,536870912,0.652259961,0.652218767
2048,262144,536870912,0.683787594,0.683708280
4096,131072,536870912,0.675047183,0.674878037
8192,65536,536870912,0.623855983,0.623542151
16384,32768,536870912,0.624335040,0.623684080
32768,16384,536870912,0.653600667,0.652250739
65536,8192,536870912,0.641147554,0.638460574
131072,4096,536870912,0.659090730,0.653742951
262144,2048,536870912,0.662545424,0.651701324
524288,1024,536870912,0.718783265,0.697477968
1048576,512,536870912,0.853953314,0.810690273
2097152,256,536870912,1.046522274,0.961149182
4194304,128,536870912,1.230615728,1.056940472
8388608,64,536870912,1.427739561,1.078326703
16777216,32,536870912,1.776139855,1.080445830
33554432,16,536870912,2.500864245,1.108168373
67108864,8,536870912,3.876509876,1.097902817
134217728,4,536870912,6.615391199,1.077901410
268435456,2,536870912,12.098781499,1.064558672
536870912,1,536870912,74.466317929,51.839104210
