Iter	Interp		Mover		Total
1	0.000006	0.000005	0.000011
2	0.000006	0.000005	0.000011
3	0.000006	0.000005	0.000011
4	0.000006	0.000005	0.000011
5	0.000006	0.000005	0.000011
6	0.000006	0.000005	0.000011
7	0.000006	0.000005	0.000011
8	0.000006	0.000005	0.000011
9	0.000006	0.000005	0.000011
10	0.000006	0.000005	0.000010
Iter	Interp		Mover		Total
1	0.000486	0.000369	0.000854
2	0.000489	0.000363	0.000851
3	0.000486	0.000367	0.000852
4	0.000490	0.000363	0.000853
5	0.000485	0.000368	0.000854
6	0.000460	0.000341	0.000802
7	0.000458	0.000344	0.000801
8	0.000460	0.000348	0.000807
9	0.000458	0.000343	0.000801
10	0.000460	0.000347	0.000807
Iter	Interp		Mover		Total
1	0.035579	0.026075	0.061654
2	0.026682	0.022392	0.049074
3	0.026665	0.022392	0.049057
4	0.026677	0.022396	0.049073
5	0.026664	0.022389	0.049053
6	0.026659	0.022389	0.049048
7	0.026667	0.022389	0.049056
8	0.026670	0.022386	0.049056
9	0.026672	0.022385	0.049057
10	0.024150	0.017136	0.041287
Iter	Interp		Mover		Total
1	2.078261	1.722119	3.800379
2	2.077576	1.719588	3.797164
3	2.077795	1.719347	3.797142
4	2.081037	1.717760	3.798796
5	2.078390	1.717582	3.795972
6	2.077999	1.717687	3.795686
7	2.077884	1.717858	3.795743
8	2.078416	1.717098	3.795514
9	2.077747	1.717452	3.795199
10	2.077985	1.717259	3.795244
