Iter	Interp		Mover		Total
1	0.000001	0.000002	0.000003
2	0.000001	0.000002	0.000003
3	0.000001	0.000002	0.000003
4	0.000000	0.000002	0.000003
5	0.000000	0.000002	0.000003
6	0.000001	0.000002	0.000003
7	0.000000	0.000002	0.000003
8	0.000000	0.000002	0.000003
9	0.000001	0.000002	0.000003
10	0.000001	0.000002	0.000003
Iter	Interp		Mover		Total
1	0.000045	0.000256	0.000301
2	0.000047	0.000257	0.000304
3	0.000047	0.000255	0.000302
4	0.000046	0.000259	0.000306
5	0.000044	0.000255	0.000300
6	0.000048	0.000255	0.000303
7	0.000046	0.000255	0.000300
8	0.000046	0.000256	0.000302
9	0.000048	0.000254	0.000302
10	0.000045	0.000256	0.000301
Iter	Interp		Mover		Total
1	0.004570	0.024954	0.029524
2	0.004294	0.025107	0.029402
3	0.004275	0.023956	0.028231
4	0.004247	0.023992	0.028239
5	0.004266	0.023988	0.028253
6	0.004256	0.024016	0.028273
7	0.004240	0.023983	0.028222
8	0.004251	0.023999	0.028251
9	0.004225	0.023980	0.028205
10	0.004385	0.024392	0.028777
Iter	Interp		Mover		Total
1	0.429502	2.405399	2.834901
2	0.431241	2.444222	2.875464
3	0.429513	2.412594	2.842107
4	0.429259	2.407530	2.836788
5	0.428550	2.402664	2.831214
6	0.452411	2.443289	2.895700
7	0.429372	2.408037	2.837409
8	0.427765	2.402508	2.830274
9	0.429510	2.405382	2.834892
10	0.427769	2.400793	2.828561
